id,query,ground_truth_short,ground_truth_full,relevant_id,difficulty,answer_type,,,,,,,,,,
123,چلاس کس دریا کے کنارے واقع ہے؟,دریائے سندھ کے کنارے,چلاس دریائے سندھ کے کنارے واقع ہے۔,56,easy,factual,,,,,,,,,,
124,چلاس کی تاریخ کس قدیم تہذیب سے تعلق رکھتی ہے؟,وادی سندھ کی تہذیب تک,چلاس کی تاریخ وادی سندھ کی تہذیب سے تعلق رکھتی ہے۔,57,easy,factual,,,,,,,,,,
125,چلاس ماضی میں کس حیثیت سے مشہور تھا؟,ایک اہم تجارتی مرکز,چلاس ماضی میں ایک اہم تجارتی مرکز تھا۔,57,easy,factual,,,,,,,,,,
126,چلاس کن شہروں اور خطوں سے منسلک ہے؟,اسلام آباد پشاور اور سنکیانگ سے,چلاس شاہراہ قراقرم اور قومی شاہراہ کے ذریعے اسلام آباد پشاور اور سنکیانگ سے منسلک ہے۔,58,medium,list-recall,,,,,,,,,,
127,چلاس کے لوگ کس خصوصیت کے لیے مشہور ہیں؟,مہمان نوازی کے لیے,چلاس کے لوگ اپنی مہمان نوازی کے لیے مشہور ہیں۔,59,easy,factual,,,,,,,,,,
128,چلاس میں تاریخ سے دلچسپی رکھنے والے سیاح کون سے تاریخی آثار کے بارے میں جان سکتے ہیں؟,بدھ مت کی عبادت گاہیں اور تھلپن کے چٹانی نقوش و نوشتہ جات,چلاس میں بدھ مت کی عبادت گاہیں موجود تھیں جبکہ تھلپن چلاس میں 50 ہزار سے زائد چٹانی نقوش اور 5 ہزار سے زائد نوشتہ جات موجود ہیں۔,"60,57",hard,multi-source,,,,,,,,,,
129,چلاس کس  دریا کے کنارے واقع ہے اور یہ کن اہم شہروں سے منسلک ہے؟,"اسلام آباد، پشاور اور سنکیانگ سے","چلاس دریائے سندھ کے کنارے واقع ہے اور شاہراہ قراقرم اور قومی شاہراہ کے ذریعے اسلام آباد، پشاور اور چین کے سنکیانگ خطے سے منسلک ہے۔","56,58",hard,multi-source,,,,,,,,,,
130,چلاس آنے والے سیاح مقامی زبانوں اور ثقافت کے بارے میں کیا جان سکتے ہیں؟,"شینا، کوہستانی زبانیں اور مہمان نوازی",چلاس میں شینا اور کوہستانی سمیت مختلف زبانیں بولی جاتی ہیں اور لوگ اپنی مہمان نوازی کے لیے مشہور ہیں۔,59,medium,list-recall,,,,,,,,,,
131,تھلپن چلاس میں کتنے سے زائد چٹانی نقوش موجود ہیں؟,50 ہزار سے زائد,تھلپن چلاس میں 50 ہزار سے زائد چٹانی نقوش موجود ہیں۔,60,easy,factual,,,,,,,,,,
132,تھلپن چلاس میں کتنے سے زائد نوشتہ جات موجود ہیں؟,5 ہزار سے زائد,تھلپن چلاس میں 5 ہزار سے زائد نوشتہ جات موجود ہیں۔,60,easy,factual,,,,,,,,,,
133,تھلپن چلاس کے چٹانی نقوش کتنے سال پرانے ہیں؟,تقریباً 9 ہزار سال پرانے,تھلپن چلاس کے چٹانی نقوش اور نوشتہ جات تقریباً 9 ہزار سال پرانے ہیں۔,60,easy,factual,,,,,,,,,,
134,تھلپن چلاس کو کس قسم کے تاریخی آثار کے لیے جانا جاتا ہے؟,چٹانی نقوش اور نوشتہ جات,تھلپن چلاس چٹانی نقوش اور نوشتہ جات کی بڑی تعداد کے لیے جانا جاتا ہے۔,60,medium,list-recall,,,,,,,,,,
135,ورلڈ واچ مانیومنٹس نے تھلپن چلاس کو کس حیثیت سے تسلیم کیا ہے؟,دنیا کے بڑے راک آرٹ علاقوں میں سےایک,ورلڈ واچ مانیومنٹس نے تھلپن چلاس کو دنیا کے بڑے راک آرٹ علاقوں میں شمار کیا ہے۔,60,easy,factual,,,,,,,,,,
136,چلاس کن شاہراہوں کے ذریعے دیگر شہروں سے جڑا ہے اور یہاں کے مقامی لوگ کن زبانوں میں بات کرتے ہیں؟,شاہراہ قراقرم اور قومی شاہراہ سے رسائی؛ کوہستانی و داردی لوگ مہمان نواز,"چلاس شاہراہ قراقرم اور قومی شاہراہ کے ذریعے اسلام آباد، پشاور اور چین کے سنکیانگ خطے سے منسلک ہے۔ یہاں کوہستانی اور داردی نسل کے لوگ آباد ہیں جو شینا اور کوہستانی زبانیں بولتے ہیں اور اپنی مہمان نوازی کے لیے مشہور ہیں۔","58,59",hard,multi-source,,,,,,,,,,
137,بابوسر پاس کی بلندی کتنی ہے؟,4173 میٹر,بابوسر پاس 4173 میٹر کی بلندی پر واقع ہے۔,61,easy,factual,,,,,,,,,,
138,بابوسر پاس کن دو علاقوں کو ملاتا ہے؟,خیبر پختونخوا اور گلگت بلتستان,بابوسر پاس خیبر پختونخوا کو گلگت بلتستان سے ملاتا ہے۔,61,easy,factual,,,,,,,,,,
139,بابوسر پاس کس وادی میں واقع ہے؟,وادی چلاس میں,بابوسر پاس وادی چلاس میں واقع ہے۔,62,easy,factual,,,,,,,,,,
140,بابوسر وادی کا بلند ترین مقام کون سا ہے؟,بابوسر پاس,بابوسر پاس بابوسر وادی کا بلند ترین مقام ہے۔,62,easy,factual,,,,,,,,,,
141,بابوسر پاس تک کس ذریعے سے آسانی سے پہنچا جا سکتا ہے؟,گاڑی کے ذریعے,بابوسر پاس تک گاڑی کے ذریعے آسانی سے پہنچا جا سکتا ہے۔,62,easy,factual,,,,,,,,,,
142,بابوسر پاس کن قدرتی خصوصیات کے لیے مشہور ہے؟,سرسبز میدان کم گنجان اور جنگلی پھول,بابوسر پاس سرسبز میدانوں کم گنجان اور خوبصورت جنگلی پھولوں کے لیے مشہور ہے۔,63,medium,list-recall,,,,,,,,,,
143,بابوسر پاس سال کے کن مہینوں میں زیادہ تر بند رہتا ہے؟,اکتوبر سے جون تک,بابوسر پاس شدید برف باری کی وجہ سے اکتوبر سے جون تک زیادہ تر بند رہتا ہے۔,64,easy,factual,,,,,,,,,,
144,بابوسر پاس کا راستہ خطرناک کیوں سمجھا جاتا ہے؟,کھڑی چڑھائیوں کی وجہ سے,بابوسر پاس کا راستہ کھڑی چڑھائیوں کی وجہ سے خطرناک سمجھا جاتا ہے۔,64,easy,factual,,,,,,,,,,
145,بابوسر پاس سیاحوں کے لیے پرکشش کیوں ہے؟,قدرتی حسن اور آسان رسائی کی وجہ سے,بابوسر پاس سرسبز مناظر جنگلی پھولوں اور گاڑی کے ذریعے آسان رسائی کی وجہ سے سیاحوں کے لیے پرکشش ہے۔,"62,63",hard,multi-source,,,,,,,,,,
146,بابوسر پاس کی جغرافیائی اور سیاحتی اہمیت کیسے ظاہر ہوتی ہے؟,علاقوں کے رابطے اور قدرتی حسن سے,بابوسر پاس خیبر پختونخوا اور گلگت بلتستان کو ملاتا ہے جبکہ اس کا قدرتی حسن اسے اہم سیاحتی مقام بناتا ہے۔,"61,63",hard,multi-source,,,,,,,,,,
147,بابوسر پاس کے سفر میں کن مشکلات کا سامنا ہو سکتا ہے؟,شدید برف باری اور کھڑی چڑھائیاں,بابوسر پاس کے سفر میں شدید برف باری اور کھڑی چڑھائیوں کی وجہ سے مشکلات پیش آ سکتی ہیں۔,64,medium,list-recall,,,,,,,,,,
148,بابوسر پاس کی رسائی اور موسمی حالات ایک دوسرے کو کیسے متاثر کرتے ہیں؟,برف باری کے باعث رسائی محدود ہو جاتی ہے,اگرچہ بابوسر پاس تک گاڑی سے پہنچا جا سکتا ہے لیکن شدید برف باری کی وجہ سے یہ راستہ سال کے کئی مہینوں تک بند رہتا ہے۔,"62,64",hard,multi-source,,,,,,,,,,
149,فیری میڈوز کا مقامی نام کیا ہے؟,جوٹ,فیری میڈوز کو مقامی طور پر جوٹ کہا جاتا ہے۔,65,easy,factual,,,,,,,,,,
150,فیری میڈوز کا نام کس نے رکھا تھا؟,جرمن کوہ پیماؤں نے,فیری میڈوز کا نام جرمن کوہ پیماؤں نے رکھا تھا۔,65,easy,factual,,,,,,,,,,
151,فیری میڈوز کا نام Märchenwiese کا کیا مطلب ہے؟,پریوں کی چراگاہ,جرمن لفظ Märchenwiese کا مطلب پریوں کی چراگاہ ہے۔,65,easy,factual,,,,,,,,,,
152,فیری میڈوز کس پہاڑ کے دامن میں واقع ہے؟,نانگا پربت کے,فیری میڈوز نانگا پربت کے دامن میں واقع ہے۔,65,easy,factual,,,,,,,,,,
153,فیری میڈوز کی بلندی کتنی ہے؟,تقریباً 3300 میٹر,فیری میڈوز سطح سمندر سے تقریباً 3300 میٹر بلند ہے۔,66,easy,factual,,,,,,,,,,
154,فیری میڈوز ٹریکرز کے لیے کیوں اہم ہے؟,نانگا پربت کے ٹریک کا نقطۂ آغاز,فیری میڈوز نانگا پربت کے رائیکوٹ رخ کی جانب جانے والے ٹریکرز کے لیے نقطۂ آغاز کی حیثیت رکھتا ہے۔,66,easy,factual,,,,,,,,,,
155,فیری میڈوز کو قومی پارک کب قرار دیا گیا؟,1995 میں,1995 میں حکومت پاکستان نے فیری میڈوز کو قومی پارک قرار دیا۔,66,easy,factual,,,,,,,,,,
156,فیری میڈوز تک رسائی کہاں سے شروع ہوتی ہے؟,رائیکوٹ پل سے,فیری میڈوز تک رسائی شاہراہ قراقرم پر واقع رائیکوٹ پل سے شروع ہوتی ہے۔,67,easy,factual,,,,,,,,,,
157,فیری میڈوز کا نام کیسے پڑا اور مقامی لوگ اسے کیا کہتے ہیں؟,"جرمن کوہ پیماؤں نے Märchenwiese یعنی پریوں کی چراگاہ رکھا، مقامی نام جوٹ ہے",فیری میڈوز کا نام جرمن کوہ پیماؤں نے Märchenwiese یعنی پریوں کی چراگاہ رکھا جبکہ مقامی طور پر اسے جوٹ کہا جاتا ہے,65,medium,list-recall,,,,,,,,,,
158,فیری میڈوز پہنچنے کے لیے کن مراحل سے گزرنا پڑتا ہے؟,جیپ سفر اور پیدل ٹریک,رائیکوٹ پل سے ٹاٹو گاؤں تک جیپ اور اس کے بعد تقریباً پانچ کلومیٹر پیدل سفر کر کے فیری میڈوز پہنچا جا سکتا ہے۔,67,medium,list-recall,,,,,,,,,,
159,فیری میڈوز میں کیمپنگ سائٹس کب سے چلائی جا رہی ہیں؟,1992 سے,مقامی افراد 1992 سے فیری میڈوز میں کیمپنگ سائٹس چلا رہے ہیں۔,68,easy,factual,,,,,,,,,,
160,فیری میڈوز تک پہنچنے کے لیے سیاح کو کون سے دو ذرائع استعمال کرنے پڑتے ہیں؟,جیپ اور پیدل سفر,سیاح پہلے رائیکوٹ پل سے ٹاٹو گاؤں تک جیپ کے ذریعے اور پھر پیدل سفر کے ذریعے فیری میڈوز پہنچتے ہیں۔,67,medium,list-recall,,,,,,,,,,
161,فیری میڈوز کس وادی اور گلیشیئر کے قریب واقع ہے؟,رائیکوٹ وادی اور رائیکوٹ گلیشیئر,فیری میڈوز رائیکوٹ وادی میں رائیکوٹ گلیشیئر کے قریب واقع ہے۔,68,medium,list-recall,,,,,,,,,,
162,فیری میڈوز کو منفرد سیاحتی مقام کیوں سمجھا جاتا ہے؟,قدرتی ماحول اور نانگا پربت کی قربت کی وجہ سے,فیری میڈوز اپنی خالص قدرتی ماحول اور نانگا پربت کی وجہ سے منفرد سیاحتی مقام سمجھا جاتا ہے۔,"65,68",hard,multi-source,,,,,,,,,,
163,فیری میڈوز قومی پارک کب بنا اور وہاں کیمپنگ کب شروع ہوئی؟,1995 میں قومی پارک اور 1992 سے کیمپنگ,فیری میڈوز کو 1995 میں قومی پارک قرار دیا گیا جبکہ مقامی افراد 1992 سے وہاں کیمپنگ سائٹس چلا رہے ہیں۔,"66,68",hard,multi-source,,,,,,,,,,
164,رائیکوٹ پل سے فیری میڈوز تک کا سفر کیسے طے ہوتا ہے اور یہ مقام سطح سمندر سے کتنا بلند ہے؟,"جیپ اور پیدل سفر، 3300 میٹر بلندی",رائیکوٹ پل سے ٹاٹو گاؤں تک جیپ اور پھر پیدل سفر سے فیری میڈوز پہنچا جاتا ہے جو سطح سمندر سے تقریباً 3300 میٹر بلند ہے۔,"66,67",hard,multi-source,,,,,,,,,,
165,نانگا پربت کس پہاڑی سلسلے کا مغربی کنارہ سمجھا جاتا ہے؟,ہمالیہ کا,نانگا پربت ہمالیہ کا مغربی کنارہ سمجھا جاتا ہے۔,69,easy,factual,,,,,,,,,,
166,نانگا پربت دنیا کے کن خصوصی پہاڑوں میں شامل ہے؟,"8,000 میٹر سے زیادہ بلند دنیا کی 14 بلند ترین چوٹیوں میں شمار ہوتی ہے۔"," نانگا پربت دنیا  کے8,000 میٹر سے زیادہ بلند دنیا کی 14 بلند ترین چوٹیوں میں شمار ہوتی ہے۔",69,easy,factual,,,,,,,,,,
167,"دنیا کی بلند ترین چوٹیوں کی فہرست میں نانگا پربت کس نمبر پر ہے، اور اس کی بلندی کیا ہے؟","8,126 میٹر، دنیا کی نویں بلند ترین چوٹی","نانگا پربت دنیا کی نویں بلند ترین چوٹی ہے جس کی بلندی 8,126 میٹر ہے۔",69,medium,list-recall,,,,,,,,,,
168,نانگا پربت کے نام کا کیا مطلب ہے؟,برہنہ پہاڑ,نانگا پربت کے نام کا مطلب برہنہ پہاڑ ہے۔,70,easy,factual,,,,,,,,,,
169,نانگا پربت کا مقامی نام کیا ہے؟,دیامر یا دیو میر,نانگا پربت کو مقامی طور پر دیامر یا دیو میر کہا جاتا ہے۔,70,easy,factual,,,,,,,,,,
170,نانگا پربت کو قاتل پہاڑ کیوں کہا جاتا ہے؟,کوہ پیماؤں کی زیادہ ہلاکتوں کی وجہ سے,نانگا پربت کو کوہ پیماؤں کی بڑی تعداد میں ہلاکتوں کے باعث قاتل پہاڑ کہا جاتا ہے۔,71,easy,factual,,,,,,,,,,
171,نانگا پربت کوہ پیماؤں کے لیے مشکل کیوں سمجھا جاتا ہے؟,دشوار گزار چڑھائی کی وجہ سے,نانگا پربت اپنی دشوار گزار چڑھائی کی وجہ سے مشکل پہاڑ سمجھا جاتا ہے۔,71,easy,factual,,,,,,,,,,
172,نانگا پربت کی عالمی اہمیت کن عوامل سے ظاہر ہوتی ہے؟,اس کی بلندی اور آٹھ ہزار میٹر سے بلند پہاڑوں میں شمولیت سے,نانگا پربت دنیا کا نواں بلند ترین پہاڑ ہے اور دنیا کے 14 آٹھ ہزار میٹر سے بلند پہاڑوں میں شامل ہے۔,69,medium,list-recall,,,,,,,,,,
173,نانگا پربت کا نام کن سنسکرت الفاظ سے نکلا ہے؟,ناگنا اور پروت,نانگا پربت کا نام سنسکرت کے الفاظ ناگنا اور پروت سے نکلا ہے۔,70,medium,list-recall,,,,,,,,,,
174,نانگا پربت کی مقامی اور تاریخی شناخت کن ناموں سے وابستہ ہے؟,نانگا پربت دیامر اور دیو میر,اس پہاڑ کو نانگا پربت کے علاوہ دیامر اور دیو میر کے ناموں سے بھی جانا جاتا ہے۔,70,medium,list-recall,,,,,,,,,,
175,نانگا پربت کے مختلف نام اور ان کے معانی کیا ہیں؟,برہنہ پہاڑ اور بہت بڑا پہاڑ,نانگا پربت کا مطلب برہنہ پہاڑ جبکہ دیامر یا دیو میر کا مطلب بہت بڑا پہاڑ ہے۔,70,medium,list-recall,,,,,,,,,,
176,نانگا پربت کو دنیا کے نمایاں پہاڑوں میں کیوں شمار کیا جاتا ہے؟,بلندی اور دشوار گزار چڑھائی کی وجہ سے,نانگا پربت دنیا کا نواں بلند ترین پہاڑ ہے اور اپنی دشوار گزار چڑھائی کی وجہ سے بھی مشہور ہے۔,"69,71",hard,multi-source,,,,,,,,,,
177,نانگا پربت دنیا کی کتنویں بلند ترین چوٹی ہے اور فیری میڈوز اس کے کس رخ پر واقع ہے؟,دنیا کی نویں بلند ترین چوٹی؛ فیری میڈوز اسی کے دامن میں واقع,"نانگا پربت 8,126 میٹر بلندی کے ساتھ دنیا کی نویں بلند ترین چوٹی ہے۔ فیری میڈوز اسی پہاڑ کے دامن میں واقع ایک سرسبز میدان ہے جو ٹریکرز کے لیے نانگا پربت کی جانب سفر کا نقطۂ آغاز ہے۔","65,66,69",hard,multi-source,,,,,,,,,,
178,ضلع شگر کا رقبہ کتنا ہے؟,8500 مربع کلومیٹر,ضلع شگر کا رقبہ تقریباً 8500 مربع کلومیٹر ہے۔,72,easy,factual,,,,,,,,,,
179,ضلع شگر کس پہاڑی سلسلے کا دروازہ سمجھا جاتا ہے؟,قراقرم کا,ضلع شگر قراقرم کے عظیم پہاڑی سلسلے کا دروازہ سمجھا جاتا ہے۔,72,easy,factual,,,,,,,,,,
180,ضلع شگر تاریخی طور پر کس راستے پر واقع ہے؟,وسطی ایشیا کے قدیم تجارتی راستے پر,ضلع شگر وسطی ایشیا کے قدیم تجارتی راستے پر واقع ہے۔,72,easy,factual,,,,,,,,,,
181,وادی شگر اسکردو سے کتنی دور واقع ہے؟,تقریباً آدھے گھنٹے کی مسافت پر,وادی شگر اسکردو سے تقریباً آدھے گھنٹے کی مسافت پر واقع ہے۔,73,easy,factual,,,,,,,,,,
182,وادی شگر کتنے کلومیٹر تک پھیلی ہوئی ہے؟,170 کلومیٹر,وادی شگر تقریباً 170 کلومیٹر تک پھیلی ہوئی ہے۔,73,easy,factual,,,,,,,,,,
183,برالدو وادی کے سرے پر کون سا گلیشیئر واقع ہے؟,بالتورو گلیشیئر,برالدو وادی کے سرے پر بالتورو گلیشیئر واقع ہے۔,74,easy,factual,,,,,,,,,,
184,K2 کی عالمی اہمیت کیا ہے؟,دنیا کی دوسری بلند ترین چوٹی,K2 دنیا کی دوسری بلند ترین چوٹی ہے۔,74,easy,factual,,,,,,,,,,
185,نانگا پربت کے بارے میں کون سی دو اہم باتیں بیان کی جاتی ہیں؟,دشوار گزار چڑھائی اور قاتل پہاڑ کی شہرت,نانگا پربت اپنی دشوار گزار چڑھائی اور کوہ پیماؤں کی زیادہ ہلاکتوں کے باعث قاتل پہاڑ کے نام سے مشہور ہے۔,71,medium,list-recall,,,,,,,,,,
186,وادی شگر کی زمین کو کون سا دریا سیراب کرتا ہے؟,دریائے شگر,وادی شگر کی زرخیز زمین دریائے شگر سے سیراب ہوتی ہے۔,75,easy,factual,,,,,,,,,,
187,شگر قلعہ کتنے سال پرانا ہے؟,400 سال پرانا,شگر قلعہ تقریباً 400 سال پرانا ہے۔,76,easy,factual,,,,,,,,,,
188,شگر قلعہ کو آج کل کس مقصد کے لیے استعمال کیا جاتا ہے؟,ورثہ میوزیم کے طور پر,شگر قلعہ کو بحال کرکے ورثہ میوزیم کے طور پر استعمال کیا جا رہا ہے۔,76,easy,factual,,,,,,,,,,
189,امبریق مسجد کو یونیسکو ایوارڈ کب ملا؟,2005 میں,امبریق مسجد کو 2005 میں یونیسکو ایوارڈ سے نوازا گیا۔,76,easy,factual,,,,,,,,,,
190,وادی شگر میں کون کون سے پھل پیدا ہوتے ہیں؟,انگور آڑو ناشپاتی اخروٹ اور خوبانی,وادی شگر میں انگور آڑو ناشپاتی اخروٹ اور خوبانی بکثرت پیدا ہوتے ہیں۔,73,medium,list-recall,,,,,,,,,,
191,ضلع شگر کی قدرتی اہمیت کن مقامات سے ظاہر ہوتی ہے؟,بالتورو گلیشیئر اور K2 سے,ضلع شگر کی قدرتی اہمیت بالتورو گلیشیئر اور دنیا کی دوسری بلند ترین چوٹی K2 سے ظاہر ہوتی ہے۔,74,medium,list-recall,,,,,,,,,,
192,ضلع شگر کی زرعی اہمیت کن عوامل سے ظاہر ہوتی ہے؟,زرخیز زمین اور مختلف پھلوں کی پیداوار سے,وادی شگر کی زرخیز زمین دریائے شگر سے سیراب ہوتی ہے اور یہاں مختلف اقسام کے پھل پیدا ہوتے ہیں۔,75,medium,list-recall,,,,,,,,,,
193,ضلع شگر کو سیاحتی لحاظ سے منفرد کیوں سمجھا جاتا ہے؟,قدرتی مناظر تاریخی ورثے اور K2 کی وجہ سے,ضلع شگر قدرتی مناظر بالتورو گلیشیئر K2 اور تاریخی ورثے کی وجہ سے منفرد سیاحتی مقام سمجھا جاتا ہے۔,"74,76",hard,multi-source,,,,,,,,,,
194,ضلع شگر کی جغرافیائی اور تاریخی اہمیت ایک ساتھ کیسے ظاہر ہوتی ہے؟,قدیم تجارتی راستے اور تاریخی ورثے سے,ضلع شگر قدیم تجارتی راستے پر واقع ہے جبکہ شگر قلعہ اور امبریق مسجد اس کے تاریخی ورثے کی نمائندگی کرتے ہیں۔,"72,76",hard,multi-source,,,,,,,,,,
195,K2 دنیا کی کون سی بلند ترین چوٹی ہے؟,دوسری بلند ترین چوٹی,K2 دنیا کی دوسری بلند ترین چوٹی ہے۔,77,easy,factual,,,,,,,,,,
196,K2 کی بلندی کتنی ہے؟,8611 میٹر,K2 کی بلندی 8611 میٹر ہے۔,77,easy,factual,,,,,,,,,,
197,K2 کس پہاڑی سلسلے میں واقع ہے؟,قراقرم میں,K2 قراقرم کے پہاڑی سلسلے میں واقع ہے۔,77,easy,factual,,,,,,,,,,
198,K2 کس سرحد پر واقع ہے؟,پاک چین سرحد پر,K2 پاک چین سرحد پر واقع ہے۔,77,easy,factual,,,,,,,,,,
199,K2 کا مقامی بلتی نام کیا ہے؟,چھوغوری,K2 کا مقامی بلتی نام چھوغوری ہے۔,78,easy,factual,,,,,,,,,,
200,K2 کے بیس کیمپ تک پہنچنے کا روایتی راستہ کہاں سے شروع ہوتا ہے؟,اسکردو سے,روایتی راستہ اسکردو سے شروع ہو کر K2 بیس کیمپ تک جاتا ہے۔,79,easy,factual,,,,,,,,,,
201,K2 کا دروازہ کس شہر کو کہا جاتا ہے؟,اسکردو کو,اسکردو کو K2 کا دروازہ سمجھا جاتا ہے۔,79,easy,factual,,,,,,,,,,
202,K2 کی جانب آخری آبادی کون سی ہے؟,اسکولے,اسکولے K2 کی جانب آخری آبادی ہے۔,80,easy,factual,,,,,,,,,,
203,ضلع شگر کی تاریخی اور ثقافتی اہمیت کن مقامات سے وابستہ ہے؟,شگر قلعہ اور امبریق مسجد سے,شگر قلعہ اور امبریق مسجد ضلع شگر کے اہم تاریخی اور ثقافتی ورثے ہیں۔,76,medium,list-recall,,,,,,,,,,
204,K2 کی چوٹی پہلی مرتبہ کب سر کی گئی؟,31 جولائی 1954,31 جولائی 1954 کو پہلی مرتبہ K2 کی چوٹی سر کی گئی۔,81,easy,factual,,,,,,,,,,
205,K2 کی جغرافیائی اہمیت کن عوامل سے ظاہر ہوتی ہے؟,قراقرم اور پاک چین سرحد پر واقع ہونے سے,K2 قراقرم کے سلسلے میں واقع ہے اور پاک چین سرحد پر موجود ہے۔,77,medium,list-recall,,,,,,,,,,
206,K2 کے مقامی نام اور اس کے موجودہ نام کی تاریخ کیا ظاہر کرتی ہے؟,چھوغوری مقامی نام ہے جبکہ K2 کا نام زیادہ مشہور ہو گیا,1856 میں ٹی جی مونٹگومری نے سروے کے دوران K1 اور K2 کے نام دیے۔ K2 کا مقامی بلتی نام چھوغوری ہے لیکن K2 کا نام ہی زیادہ مشہور ہو گیا۔,78,medium,list-recall,,,,,,,,,,
207,K2 کی سیاحتی اور ٹریکنگ اہمیت کیوں نمایاں ہے؟,بیس کیمپ ٹریک اور عالمی شہرت کی وجہ سے,K2 دنیا کی دوسری بلند ترین چوٹی ہے اور اس کا مشہور بیس کیمپ ٹریک اسکردو سے شروع ہوتا ہے۔,"77,79",hard,multi-source,,,,,,,,,,
208,K2 کے سفر میں اسکردو اور اسکولے کی کیا اہمیت ہے؟,اسکردو دروازہ اور اسکولے آخری آبادی ہے,اسکردو K2 کا دروازہ ہے جبکہ اسکولے K2 کی جانب آخری آبادی ہے۔,"79,80",hard,multi-source,,,,,,,,,,
209,K2 کی تاریخی اور کوہ پیمائی اہمیت کن حقائق سے ظاہر ہوتی ہے؟,اس کی عالمی درجہ بندی اور پہلی کامیاب چڑھائی سے,K2 دنیا کی دوسری بلند ترین چوٹی ہے اور 1954 میں پہلی مرتبہ اس کی چوٹی سر کی گئی۔,"77,81",hard,multi-source,,,,,,,,,,
210,بلائنڈ جھیل اسکردو شہر سے کتنی دور ہے؟,تقریباً 30 منٹ کی مسافت پر,بلائنڈ جھیل اسکردو شہر سے تقریباً 30 منٹ کی مسافت پر واقع ہے۔,82,easy,factual,,,,,,,,,,
211,بلائنڈ جھیل کا K2 کے مشہور راستے سے کیا تعلق ہے؟,یہ K2 کے راستے پر واقع ہے,بلائنڈ جھیل K2 کی جانب جانے والے مشہور راستے پر واقع ہے۔,82,easy,factual,,,,,,,,,,
212,سرفرنگا سرد صحرا کتنی بلندی پر واقع ہے؟,7500 فٹ,سرفرنگا سرد صحرا تقریباً 7500 فٹ کی بلندی پر واقع ہے۔,83,easy,factual,,,,,,,,,,
213,K2 کے راستے میں کون کون سے اہم مقامات آتے ہیں؟,پائیو اردوکاس گورو اور کونکورڈیا,اسکولے کے بعد پائیو اردوکاس گورو اور کونکورڈیا آتے ہیں۔,80,medium,list-recall,,,,,,,,,,
214,K2 کی چوٹی سب سے پہلے کن کوہ پیماؤں نے سر کی؟,اچیلے کمپاگنونی اور لینو لاچیڈیلی,اچیلے کمپاگنونی اور لینو لاچیڈیلی نے پہلی مرتبہ K2 کی چوٹی سر کی۔,81,medium,list-recall,,,,,,,,,,
215,سرفرنگا سرد صحرا کس وادی کے راستے پر واقع ہے؟,وادی شگر کے راستے پر,سرفرنگا سرد صحرا وادی شگر کے راستے پر واقع ہے۔,83,easy,factual,,,,,,,,,,
216,بلائنڈ جھیل سیاحوں میں کیوں مقبول ہے؟,قدرتی مناظر اور منفرد محلِ وقوع کی وجہ سے ,بلائنڈ جھیل اپنےقدرتی مناظر اور منفرد محلِ وقوع کی وجہ سے  سیاحوں میں مقبول ہے۔,82,medium,list-recall,,,,,,,,,,
217,بلائنڈ جھیل کے اطراف کون کون سے قدرتی مناظر دیکھنے کو ملتے ہیں؟,پہاڑ اور سرفرنگا سرد صحرا,بلائنڈ جھیل کے اطراف پہاڑ اور سرفرنگا سرد صحرا کے مناظر دیکھنے کو ملتے ہیں۔,82,medium,list-recall,,,,,,,,,,
218,سرفرنگا سرد صحرا کے قریب کون سا دریا بہتا ہے؟,دریائے سندھ,سرفرنگا سرد صحرا کے قریب دریائے سندھ بہتا ہے۔,83,easy,factual,,,,,,,,,,
219,بلائنڈ جھیل کو پوشیدہ قدرتی مقام کیوں سمجھا جاتا ہے؟,پہاڑوں اور سرفرنگا سرد صحرا کے درمیان واقع ہونے کی وجہ سے,بلائنڈ جھیل پہاڑوں اور سرفرنگا سرد صحرا کے درمیان واقع ہونے کی وجہ سے پوشیدہ قدرتی مقام سمجھی جاتی ہے۔,82,medium,list-recall,,,,,,,,,,
220,بلائنڈ جھیل کا مقامی یا دوسرا نام کیا ہے؟,جربہ ژو جھیل,بلائنڈ جھیل کو جربہ ژو جھیل بھی کہا جاتا ہے۔,82,easy,factual,,,,,,,,,,
221,بلائنڈ جھیل کس ضلع میں واقع ہے؟,ضلع شگر میں,بلائنڈ جھیل ضلع شگر میں واقع ہے۔,82,easy,factual,,,,,,,,,,
222,بلائنڈ جھیل کس مشہور سرد صحرا کے قریب واقع ہے؟,سرفرنگا سرد صحرا,بلائنڈ جھیل سرفرنگا سرد صحرا کے قریب واقع ہے۔,83,easy,factual,,,,,,,,,,
223,سرفرنگا سرد صحرا کہاں واقع ہے؟,ضلع شگر میں,سرفرنگا سرد صحرا ضلع شگر میں واقع ہے۔,83,easy,factual,,,,,,,,,,
224,بلائنڈ جھیل کے قدرتی ماحول کو منفرد بنانے والے عناصر کون سے ہیں؟,"پہاڑ، سرفرنگا صحرا اور سرسبز مناظر","بلائنڈ جھیل پہاڑوں، سرفرنگا سرد صحرا اور سرسبز مناظر کے درمیان واقع ہے، جو اس کے قدرتی ماحول کو منفرد بناتے ہیں۔",82,medium,list-recall,,,,,,,,,,
